Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.3,0.15,0.2,0.14893617,0.112359551,5,0.533954529
Ant-1.5,0.419753086,0.453333333,0.435897436,0.327433628,0.264705882,1,0.77728576
Ant-1.6,0.596153846,0.392405063,0.473282443,0.35483871,0.166666667,1,0.740785866
Ant-1.7,0.253968254,0.333333333,0.288288288,0.198113208,0.171662125,13,0.637288005
Camel-1.2,0.085106383,0.363636364,0.137931034,0.416666667,0.095528455,12,0.792379334
Camel-1.4,0.611111111,0.297297297,0.4,0.337209302,0.165137615,4,0.705691499
Camel-1.6,0.948717949,0.195767196,0.324561404,0.212851406,0.190243902,0,0.48988597
Ivy-1.4,0.698412698,0.305555556,0.425120773,0.251207729,0.255060729,0,0.608880653
Ivy-2.0,0.647058824,0.487684729,0.556179775,0.436708861,0.45,0,0.717283274
Jedit-4.0,0.066176471,0.243243243,0.104046243,0.256410256,0.433121019,1,0.436753832
Jedit-4.1,0.647058824,0.088709677,0.156028369,0.118951613,0.088311688,3,0.565942719
Jedit-4.2,0.145454545,0.25,0.183908046,0.257142857,0.187713311,37,0.610069012
Jedit-4.3,0.666666667,0.427046263,0.520607375,0.314,0.407239819,2,0.613776248
Log4j-1.1,0.4,0.166666667,0.235294118,0.191919192,0.112612613,0,0.585703468
Log4j-1.2,0.47826087,0.255813953,0.333333333,0.262068966,0.1796875,6,0.603798814
Lucene-2.2,0.642384106,0.683098592,0.662116041,0.498489426,0.705607477,0,0.87759043
Lucene-2.4,0.4,0.58974359,0.476683938,0.463157895,0.502183406,10,0.752512347
Poi-2.0,0.637681159,0.11369509,0.192982456,0.154425612,0.085927771,1,0.66893709
Poi-2.5,0.533762058,0.403892944,0.459833795,0.368,0.351412429,2,0.637189429
Poi-3.0,1,0.272828508,0.428696413,0.309975268,0.269526953,0,0.450824019
Synapse-1.1,0.220095694,0.647887324,0.328571429,0.686956522,0.475,4,0.837155007
Synapse-1.2,0.423076923,0.15942029,0.231578947,0.227979275,0.057395143,4,0.626628781
Velocity-1.5,0.592592593,0.173913043,0.268907563,0.152173913,0.076923077,2,0.473774035
Velocity-1.6,0.93442623,0.130434783,0.228915663,0.239974937,0.103741497,0,0.561908303
Xalan-2.5,0.428571429,0.271084337,0.332103321,0.233727811,0.140939597,8,0.584262143
Xalan-2.6,0.347578348,0.564814815,0.430335097,0.383141762,0.577302632,0,0.63525644
Xalan-2.7,0.343373494,0.393103448,0.366559486,0.373134328,0.190366972,3,0.661930495
Xerces-1.2,0.416666667,0.186170213,0.257352941,0.316,0.087046632,0,0.665848695
Xerces-1.3,0.069767442,0.375,0.117647059,0.333333333,0.356846473,2,0.599043286
Xerces-1.4,0.036885246,0.225,0.063380282,0.178571429,0.693181818,8,0.506795545
max,1,0.683098592,0.662116041,0.686956522,0.705607477,37,0.87759043
up_one_forth,0.641208369,0.40119557,0.429925426,0.364709677,0.394641483,4.75,0.696502897
median,0.425824176,0.285062903,0.326566416,0.286022117,0.188978607,2,0.620202515
mean,0.466358697,0.320019322,0.320671436,0.300116669,0.265115092,4.3,0.631971168
down_one_forth,0.310843373,0.188569459,0.207228916,0.216633373,0.112422816,0,0.570522575
min,0.036885246,0.088709677,0.063380282,0.118951613,0.057395143,0,0.436753832
