Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.5,0.275,0.35483871,0.29787234,0.123595506,2,0.524707326
Ant-1.5,0.37804878,0.413333333,0.394904459,0.287610619,0.267973856,7,0.708643229
Ant-1.6,0.555555556,0.443037975,0.492957746,0.400921659,0.201923077,4,0.763476494
Ant-1.7,0.268656716,0.375,0.313043478,0.198113208,0.182561308,14,0.589495637
Camel-1.2,0.047619048,0.272727273,0.081081081,0.333333333,0.12804878,40,0.587979668
Camel-1.4,0.5625,0.243243243,0.339622642,0.255813953,0.146788991,3,0.595510707
Camel-1.6,0.846153846,0.232804233,0.365145228,0.240963855,0.253658537,0,0.403014108
Ivy-1.4,0.653333333,0.340277778,0.447488584,0.263285024,0.303643725,1,0.588894749
Ivy-2.0,0.552631579,0.413793103,0.473239437,0.381329114,0.447058824,2,0.626024249
Jedit-4.0,0.097345133,0.297297297,0.146666667,0.307692308,0.359872611,0,0.521815713
Jedit-4.1,0.634146341,0.10483871,0.179930796,0.14516129,0.106493506,1,0.404414278
Jedit-4.2,0.079365079,0.15625,0.105263158,0.142857143,0.215017065,45,0.375639312
Jedit-4.3,0.708860759,0.398576512,0.510250569,0.3,0.357466063,3,0.568811062
Log4j-1.1,0.3125,0.083333333,0.131578947,0.181818182,0.072072072,9,0.519599945
Log4j-1.2,0.434782609,0.23255814,0.303030303,0.213793103,0.1796875,0,0.502797811
Lucene-2.2,0.620689655,0.633802817,0.6271777,0.495468278,0.677570093,0,0.800499471
Lucene-2.4,0.362831858,0.525641026,0.429319372,0.410526316,0.493449782,13,0.687938771
Poi-2.0,0.576086957,0.136950904,0.221294363,0.16007533,0.114570361,1,0.409048814
Poi-2.5,0.528358209,0.430656934,0.474530831,0.3856,0.378531073,4,0.623524693
Poi-3.0,1,0.312917595,0.476675148,0.341302556,0.309130913,0,0.471960695
Synapse-1.1,0.283236994,0.690140845,0.401639344,0.713043478,0.393181818,5,0.82817662
Synapse-1.2,0.255319149,0.173913043,0.206896552,0.196891192,0.103752759,16,0.595257088
Velocity-1.5,0.463414634,0.206521739,0.285714286,0.163043478,0.116809117,9,0.480685133
Velocity-1.6,0.924050633,0.167048055,0.282945736,0.284461153,0.134353741,0,0.541520394
Xalan-2.5,0.340909091,0.271084337,0.302013423,0.224852071,0.177181208,16,0.543747796
Xalan-2.6,0.424657534,0.143518519,0.214532872,0.216475096,0.120065789,4,0.508717109
Xalan-2.7,0.289795918,0.489655172,0.364102564,0.394029851,0.280963303,19,0.714134376
Xerces-1.2,0.382165605,0.319148936,0.347826087,0.448,0.162694301,2,0.690800572
Xerces-1.3,0.075949367,0.375,0.126315789,0.333333333,0.32780083,3,0.552193483
Xerces-1.4,0.173913043,0.1,0.126984127,0.125,0.065340909,6,0.488204906
max,1,0.690140845,0.6271777,0.713043478,0.677570093,45,0.82817662
up_one_forth,0.572690217,0.409644128,0.422399365,0.371322474,0.323133351,9,0.62539936
median,0.429720071,0.286148649,0.32633306,0.286035886,0.192242192,3.5,0.560502273
mean,0.444429248,0.308602362,0.317567,0.294755575,0.240041914,7.633333333,0.573907807
down_one_forth,0.284876725,0.182065217,0.208805632,0.202033182,0.124708824,1,0.504277635
min,0.047619048,0.083333333,0.081081081,0.125,0.065340909,0,0.375639312
