Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.307692308,0.1,0.150943396,0.127659574,0.073033708,2,0.535068687
Ant-1.5,0.426229508,0.346666667,0.382352941,0.256637168,0.199346405,7,0.715526053
Ant-1.6,0.666666667,0.329113924,0.440677966,0.30875576,0.125,1,0.739381544
Ant-1.7,0.31372549,0.333333333,0.323232323,0.198113208,0.138964578,8,0.61826357
Camel-1.2,0.15,0.272727273,0.193548387,0.25,0.040650407,8,0.730453549
Camel-1.4,0.705882353,0.324324324,0.444444444,0.360465116,0.155963303,3,0.728862183
Camel-1.6,0.933333333,0.148148148,0.255707763,0.174698795,0.146341463,0,0.386456226
Ivy-1.4,0.779661017,0.319444444,0.45320197,0.253623188,0.238866397,2,0.559759168
Ivy-2.0,0.566037736,0.443349754,0.497237569,0.381329114,0.467647059,0,0.676402004
Jedit-4.0,0.075,0.243243243,0.114649682,0.230769231,0.382165605,3,0.503087962
Jedit-4.1,0.909090909,0.040322581,0.077220077,0.100806452,0.028571429,0,0.379160755
Jedit-4.2,0.097087379,0.3125,0.148148148,0.314285714,0.351535836,3,0.69609535
Jedit-4.3,0.694174757,0.508896797,0.587268994,0.392,0.466063348,3,0.666375372
Log4j-1.1,0.5625,0.15,0.236842105,0.252525253,0.072072072,1,0.567102483
Log4j-1.2,0.566666667,0.197674419,0.293103448,0.227586207,0.1171875,4,0.53685523
Lucene-2.2,0.621794872,0.683098592,0.651006711,0.534743202,0.728971963,0,0.883910672
Lucene-2.4,0.417475728,0.551282051,0.475138122,0.426315789,0.449781659,0,0.73584072
Poi-2.0,0.872340426,0.105943152,0.188940092,0.171374765,0.058530511,0,0.68306136
Poi-2.5,0.431095406,0.296836983,0.351585014,0.3168,0.319774011,11,0.574360796
Poi-3.0,1,0.228285078,0.371713509,0.261335532,0.225522552,0,0.391940147
Synapse-1.1,0.154109589,0.633802817,0.247933884,0.652173913,0.663636364,1,0.832448641
Synapse-1.2,0.625,0.072463768,0.12987013,0.176165803,0.017660044,1,0.737662863
Velocity-1.5,0.708333333,0.184782609,0.293103448,0.184782609,0.068376068,0,0.589475292
Velocity-1.6,0.975609756,0.091533181,0.167364017,0.214912281,0.069727891,0,0.63743667
Xalan-2.5,0.534246575,0.234939759,0.326359833,0.25443787,0.097986577,5,0.608827078
Xalan-2.6,0.348017621,0.365740741,0.356659142,0.272030651,0.373355263,1,0.570482838
Xalan-2.7,0.353658537,0.2,0.255506608,0.235820896,0.094036697,3,0.601150066
Xerces-1.2,0.178683386,0.303191489,0.224852071,0.316,0.330569948,0,0.5871358
Xerces-1.3,0.058823529,0.25,0.095238095,0.222222222,0.282157676,1,0.503369711
Xerces-1.4,0.024875622,0.125,0.041493776,0.107142857,0.571022727,39,0.407913887
max,1,0.683098592,0.651006711,0.652173913,0.728971963,39,0.883910672
up_one_forth,0.702955454,0.332278481,0.379693083,0.315571429,0.367900406,3,0.710668377
median,0.548373288,0.261363636,0.274405605,0.25307422,0.177654854,1,0.604988572
mean,0.501927083,0.279888171,0.292511456,0.272517106,0.245150635,3.566666667,0.612795556
down_one_forth,0.309200603,0.158695652,0.172758036,0.202312976,0.078284455,0,0.542581214
min,0.024875622,0.040322581,0.041493776,0.100806452,0.017660044,0,0.379160755
