Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.157894737,0.3,0.206896552,0.276595745,0.426966292,5,0.571923206
Ant-1.5,0.515151515,0.453333333,0.482269504,0.327433628,0.215686275,3,0.729763789
Ant-1.6,0.666666667,0.405063291,0.503937008,0.341013825,0.153846154,3,0.743328797
Ant-1.7,0.423076923,0.458333333,0.44,0.301886792,0.141689373,2,0.702421609
Camel-1.2,0.066666667,0.272727273,0.107142857,0.333333333,0.091463415,8,0.725617218
Camel-1.4,0.705882353,0.324324324,0.444444444,0.325581395,0.155963303,2,0.659008651
Camel-1.6,0.96969697,0.169312169,0.288288288,0.184738956,0.16097561,0,0.453762915
Ivy-1.4,0.551020408,0.5625,0.556701031,0.367149758,0.5951417,1,0.650207926
Ivy-2.0,0.648648649,0.354679803,0.458598726,0.373417722,0.326470588,0,0.702578575
Jedit-4.0,0.043165468,0.162162162,0.068181818,0.153846154,0.442675159,10,0.389566143
Jedit-4.1,0.7,0.056451613,0.104477612,0.098790323,0.051948052,1,0.4259383
Jedit-4.2,0.209302326,0.28125,0.24,0.257142857,0.146757679,26,0.618785984
Jedit-4.3,0.708108108,0.466192171,0.56223176,0.344,0.418552036,2,0.66888105
Log4j-1.1,0.319148936,0.25,0.280373832,0.383838384,0.211711712,0,0.603934599
Log4j-1.2,0.571428571,0.186046512,0.280701754,0.206896552,0.109375,3,0.556518799
Lucene-2.2,0.621794872,0.683098592,0.651006711,0.52265861,0.728971963,0,0.859821976
Lucene-2.4,0.428571429,0.5,0.461538462,0.394736842,0.397379913,9,0.636656158
Poi-2.0,0.441947566,0.304909561,0.360856269,0.282485876,0.332503113,0,0.667338901
Poi-2.5,0.486692015,0.311435523,0.379821958,0.2864,0.297175141,1,0.520329576
Poi-3.0,1,0.219376392,0.359817352,0.255564716,0.216721672,0,0.422624962
Synapse-1.1,0.198380567,0.690140845,0.308176101,0.704347826,0.561363636,1,0.85779018
Synapse-1.2,0.120218579,0.637681159,0.202298851,0.461139896,0.80794702,1,0.638171395
Velocity-1.5,0.689655172,0.217391304,0.330578512,0.206521739,0.082621083,2,0.561454348
Velocity-1.6,0.952380952,0.091533181,0.167014614,0.131578947,0.071428571,0,0.619718316
Xalan-2.5,0.421052632,0.240963855,0.30651341,0.221893491,0.127516779,13,0.562710165
Xalan-2.6,0.312,0.180555556,0.228739003,0.151340996,0.205592105,2,0.46838756
Xalan-2.7,0.115241636,0.427586207,0.181551977,0.280597015,0.616972477,1,0.539680027
Xerces-1.2,0.333333333,0.175531915,0.229965157,0.258,0.102590674,0,0.5880522
Xerces-1.3,0.03030303,0.3125,0.055248619,0.277777778,0.684647303,5,0.580629517
Xerces-1.4,0.04245283,0.225,0.071428571,0.178571429,0.602272727,4,0.474540333
max,1,0.690140845,0.651006711,0.704347826,0.80794702,26,0.859821976
up_one_forth,0.662162162,0.446896552,0.443333333,0.343253456,0.438747942,3.75,0.668495513
median,0.435259497,0.30245478,0.297400849,0.281541445,0.216203973,2,0.611360291
mean,0.44832943,0.330669336,0.310626692,0.296309353,0.316164217,3.5,0.606671439
down_one_forth,0.201111006,0.217887576,0.203448276,0.210645787,0.14295645,0.25,0.54388972
min,0.03030303,0.056451613,0.055248619,0.098790323,0.051948052,0,0.389566143
