Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.4,0.2,0.266666667,0.234042553,0.112359551,4,0.379781224
Ant-1.5,0.444444444,0.373333333,0.405797101,0.261061947,0.205882353,6,0.672923169
Ant-1.6,0.627906977,0.341772152,0.442622951,0.341013825,0.137820513,6,0.594560216
Ant-1.7,0.354166667,0.354166667,0.354166667,0.245283019,0.130790191,7,0.600209321
Camel-1.2,0.05,0.181818182,0.078431373,0.166666667,0.081300813,21,0.406471911
Camel-1.4,0.764705882,0.351351351,0.481481481,0.406976744,0.155963303,3,0.727404962
Camel-1.6,0.942857143,0.174603175,0.294642857,0.204819277,0.170731707,0,0.321274641
Ivy-1.4,0.840909091,0.256944444,0.393617021,0.214975845,0.178137652,1,0.471614626
Ivy-2.0,0.803030303,0.261083744,0.394052045,0.303797468,0.194117647,0,0.526334677
Jedit-4.0,0.173913043,0.216216216,0.192771084,0.205128205,0.146496815,5,0.38160794
Jedit-4.1,0.72,0.072580645,0.131868132,0.106854839,0.064935065,1,0.215448303
Jedit-4.2,0.056338028,0.25,0.091954023,0.228571429,0.484641638,47,0.603770567
Jedit-4.3,0.85,0.181494662,0.299120235,0.174,0.135746606,2,0.388511297
Log4j-1.1,0.367346939,0.3,0.330275229,0.232323232,0.220720721,4,0.567979696
Log4j-1.2,0.5,0.209302326,0.295081967,0.186206897,0.140625,0,0.444886373
Lucene-2.2,0.621794872,0.683098592,0.651006711,0.49244713,0.728971963,0,0.877181227
Lucene-2.4,0.558139535,0.307692308,0.396694215,0.236842105,0.187772926,1,0.398356522
Poi-2.0,0.602409639,0.129198966,0.212765957,0.146892655,0.103362391,1,0.265946456
Poi-2.5,0.66442953,0.240875912,0.353571429,0.2688,0.168361582,2,0.674656488
Poi-3.0,1,0.160356347,0.276391555,0.202802968,0.158415842,0,0.257182762
Synapse-1.1,0.196078431,0.14084507,0.163934426,0.147826087,0.115909091,10,0.414600504
Synapse-1.2,0.4,0.202898551,0.269230769,0.165803109,0.077262693,3,0.546327501
Velocity-1.5,0.371428571,0.282608696,0.320987654,0.233695652,0.199430199,17,0.560020396
Velocity-1.6,0.963636364,0.121281465,0.215447154,0.215538847,0.093537415,0,0.401548865
Xalan-2.5,0.4,0.228915663,0.291187739,0.195266272,0.127516779,8,0.537251604
Xalan-2.6,0.484848485,0.148148148,0.226950355,0.185823755,0.108552632,2,0.483055906
Xalan-2.7,0.317307692,0.227586207,0.265060241,0.262686567,0.119266055,5,0.541582788
Xerces-1.2,0.32038835,0.175531915,0.226804124,0.288,0.106735751,3,0.521667153
Xerces-1.3,0.102564103,0.25,0.145454545,0.222222222,0.161825726,15,0.50886954
Xerces-1.4,0.307692308,0.2,0.242424242,0.285714286,0.073863636,9,0.500684901
max,1,0.683098592,0.651006711,0.49244713,0.728971963,47,0.877181227
up_one_forth,0.706107383,0.277227458,0.354017857,0.262280412,0.176286166,6.75,0.565989871
median,0.464646465,0.221901212,0.283789647,0.225396825,0.139222756,3,0.50477722
mean,0.50687788,0.240790158,0.290348665,0.235402787,0.169701808,6.1,0.493057051
down_one_forth,0.328832929,0.177022602,0.218286397,0.18847174,0.109504361,1,0.399154608
min,0.05,0.072580645,0.078431373,0.106854839,0.064935065,0,0.215448303
