Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.411764706,0.175,0.245614035,0.14893617,0.095505618,1,0.49529963
Ant-1.5,0.454545455,0.466666667,0.460526316,0.32300885,0.251633987,3,0.775588545
Ant-1.6,0.592592593,0.405063291,0.481203008,0.3640553,0.173076923,3,0.787693841
Ant-1.7,0.351851852,0.395833333,0.37254902,0.245283019,0.147138965,5,0.645038997
Camel-1.2,0.117647059,0.363636364,0.177777778,0.416666667,0.069105691,4,0.792221792
Camel-1.4,0.764705882,0.351351351,0.481481481,0.372093023,0.155963303,3,0.698983018
Camel-1.6,0.939393939,0.164021164,0.279279279,0.192771084,0.16097561,0,0.406044031
Ivy-1.4,0.727272727,0.333333333,0.457142857,0.275362319,0.267206478,1,0.609717131
Ivy-2.0,0.597402597,0.45320197,0.515406162,0.414556962,0.452941176,1,0.675498715
Jedit-4.0,0.082089552,0.297297297,0.128654971,0.307692308,0.426751592,13,0.517775021
Jedit-4.1,0.742857143,0.10483871,0.183745583,0.157258065,0.090909091,1,0.324719735
Jedit-4.2,0.059701493,0.25,0.096385542,0.228571429,0.457337884,24,0.606327426
Jedit-4.3,0.712707182,0.459074733,0.558441558,0.334,0.409502262,3,0.635199516
Log4j-1.1,0.292682927,0.2,0.237623762,0.272727273,0.184684685,3,0.528944999
Log4j-1.2,0.516129032,0.186046512,0.273504274,0.227586207,0.12109375,5,0.559050986
Lucene-2.2,0.62987013,0.683098592,0.655405405,0.52265861,0.719626168,0,0.88721367
Lucene-2.4,0.375,0.538461538,0.442105263,0.394736842,0.489082969,10,0.730840466
Poi-2.0,0.661971831,0.121447028,0.205240175,0.161958569,0.088418431,0,0.543925731
Poi-2.5,0.535714286,0.437956204,0.481927711,0.4048,0.379661017,4,0.644238285
Poi-3.0,1,0.31403118,0.477966102,0.34295136,0.310231023,0,0.490905915
Synapse-1.1,0.236180905,0.661971831,0.348148148,0.686956522,0.452272727,2,0.83212684
Synapse-1.2,0.244897959,0.173913043,0.203389831,0.233160622,0.10816777,5,0.655143725
Velocity-1.5,0.52173913,0.130434783,0.208695652,0.14673913,0.065527066,3,0.541444214
Velocity-1.6,1,0.09382151,0.171548117,0.228696742,0.069727891,0,0.586317713
Xalan-2.5,0.467391304,0.259036145,0.333333333,0.24852071,0.123489933,4,0.591458989
Xalan-2.6,0.534653465,0.25,0.340694006,0.264367816,0.166118421,3,0.494613296
Xalan-2.7,0.371287129,0.517241379,0.432276657,0.441791045,0.231651376,16,0.73479656
Xerces-1.2,0.479591837,0.25,0.328671329,0.392,0.101554404,5,0.715624434
Xerces-1.3,0.073170732,0.375,0.12244898,0.333333333,0.340248963,0,0.555779031
Xerces-1.4,0.051851852,0.175,0.08,0.160714286,0.383522727,6,0.462123178
max,1,0.683098592,0.655405405,0.686956522,0.719626168,24,0.88721367
up_one_forth,0.653946406,0.429732976,0.459680451,0.387023256,0.3825573,5,0.71146408
median,0.497860434,0.305664239,0.331002331,0.291527313,0.178880804,3,0.608022279
mean,0.484888823,0.319559265,0.326039545,0.308131809,0.24977093,4.266666667,0.617488514
down_one_forth,0.307475158,0.177761628,0.203852417,0.228602757,0.111399265,1,0.532069803
min,0.051851852,0.09382151,0.08,0.14673913,0.065527066,0,0.324719735
