Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.189189189,0.525,0.278145695,0.468085106,0.623595506,0,0.760149742
Ant-1.5,0.685714286,0.32,0.436363636,0.296460177,0.114379085,1,0.683456723
Ant-1.6,0.761904762,0.202531646,0.32,0.235023041,0.067307692,0,0.643585485
Ant-1.7,0.5,0.270833333,0.351351351,0.254716981,0.070844687,1,0.582143245
Camel-1.2,0.013422819,0.363636364,0.025889968,0.333333333,0.605691057,73,0.632095221
Camel-1.4,0.9,0.243243243,0.382978723,0.255813953,0.091743119,0,0.607129846
Camel-1.6,0.923076923,0.126984127,0.223255814,0.144578313,0.126829268,0,0.34201982
Ivy-1.4,0.627906977,0.1875,0.288770053,0.152173913,0.174089069,0,0.416146399
Ivy-2.0,0.525210084,0.615763547,0.566893424,0.473101266,0.7,1,0.788706383
Jedit-4.0,0.103448276,0.324324324,0.156862745,0.333333333,0.369426752,0,0.545446112
Jedit-4.1,0.7,0.028225806,0.054263566,0.08266129,0.025974026,1,0.536147329
Jedit-4.2,0.051546392,0.3125,0.088495575,0.285714286,0.662116041,36,0.562399051
Jedit-4.3,0.527586207,0.544483986,0.535901926,0.418,0.656108597,9,0.754604185
Log4j-1.1,0.178571429,0.333333333,0.23255814,0.242424242,0.504504505,2,0.506094815
Log4j-1.2,0.555555556,0.11627907,0.192307692,0.137931034,0.0703125,1,0.537193481
Lucene-2.2,0.617834395,0.683098592,0.648829431,0.471299094,0.73364486,0,0.887216288
Lucene-2.4,0.280701754,0.615384615,0.385542169,0.468421053,0.746724891,14,0.787479143
Poi-2.0,0.415879017,0.568475452,0.480349345,0.517890772,0.658779577,0,0.793323915
Poi-2.5,0.547085202,0.296836983,0.384858044,0.2624,0.251977401,0,0.504348738
Poi-3.0,0.993975904,0.183741648,0.310150376,0.216817807,0.182618262,0,0.310438952
Synapse-1.1,0.222222222,0.084507042,0.12244898,0.07826087,0.061363636,8,0.32914962
Synapse-1.2,0.119363395,0.652173913,0.201793722,0.492227979,0.832229581,1,0.696985752
Velocity-1.5,0.078534031,0.163043478,0.106007067,0.130434783,0.544159544,0,0.469589773
Velocity-1.6,0.685185185,0.677345538,0.681242808,0.390350877,0.734693878,0,0.717071034
Xalan-2.5,0.590163934,0.21686747,0.317180617,0.23964497,0.081879195,2,0.562329068
Xalan-2.6,0.341207349,0.601851852,0.435510888,0.409961686,0.626644737,2,0.650526792
Xalan-2.7,0.404761905,0.117241379,0.181818182,0.176119403,0.048165138,1,0.551948849
Xerces-1.2,0.167372881,0.420212766,0.239393939,0.366,0.489119171,0,0.634698321
Xerces-1.3,0.063492063,0.25,0.101265823,0.222222222,0.261410788,11,0.481952354
Xerces-1.4,0.038610039,0.25,0.066889632,0.196428571,0.735795455,38,0.516062613
max,0.993975904,0.683098592,0.681242808,0.517890772,0.832229581,73,0.887216288
up_one_forth,0.625388831,0.539612989,0.385371138,0.405058984,0.658111832,2,0.693603495
median,0.457939509,0.304668491,0.283457874,0.259106977,0.429272961,1,0.572271148
mean,0.426984073,0.34318065,0.293243978,0.291727679,0.395070934,6.733333333,0.593014635
down_one_forth,0.170172518,0.191257911,0.163101604,0.20152588,0.097402111,0,0.508586764
min,0.013422819,0.028225806,0.025889968,0.07826087,0.025974026,0,0.310438952
