Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.444444444,0.2,0.275862069,0.191489362,0.101123596,1,0.462131816
Ant-1.5,0.448717949,0.466666667,0.45751634,0.32300885,0.254901961,1,0.775926158
Ant-1.6,0.611111111,0.417721519,0.496240602,0.382488479,0.173076923,3,0.802538549
Ant-1.7,0.316666667,0.395833333,0.351851852,0.254716981,0.163487738,7,0.632673184
Camel-1.2,0.069767442,0.272727273,0.111111111,0.333333333,0.087398374,13,0.712173631
Camel-1.4,0.631578947,0.324324324,0.428571429,0.337209302,0.174311927,4,0.695195123
Camel-1.6,0.918918919,0.17989418,0.300884956,0.196787149,0.180487805,0,0.40659302
Ivy-1.4,0.724637681,0.347222222,0.469483568,0.285024155,0.279352227,1,0.608653333
Ivy-2.0,0.608108108,0.443349754,0.512820513,0.381329114,0.435294118,1,0.660124489
Jedit-4.0,0.0859375,0.297297297,0.133333333,0.307692308,0.407643312,11,0.505362349
Jedit-4.1,0.735294118,0.100806452,0.177304965,0.153225806,0.088311688,1,0.416966961
Jedit-4.2,0.125,0.28125,0.173076923,0.285714286,0.245733788,16,0.647067165
Jedit-4.3,0.681564246,0.434163701,0.530434783,0.322,0.404977376,0,0.61316931
Log4j-1.1,0.25,0.2,0.222222222,0.272727273,0.216216216,5,0.485938018
Log4j-1.2,0.571428571,0.23255814,0.330578512,0.248275862,0.13671875,0,0.558659831
Lucene-2.2,0.635761589,0.676056338,0.655290102,0.513595166,0.705607477,0,0.87451903
Lucene-2.4,0.371681416,0.538461538,0.439790576,0.421052632,0.493449782,10,0.748329136
Poi-2.0,0.666666667,0.139534884,0.230769231,0.184557439,0.100871731,0,0.59375337
Poi-2.5,0.547619048,0.447688564,0.492637216,0.4016,0.379661017,3,0.721412897
Poi-3.0,1,0.311804009,0.475382003,0.341302556,0.308030803,0,0.486910721
Synapse-1.1,0.226600985,0.647887324,0.335766423,0.67826087,0.461363636,1,0.824957395
Synapse-1.2,0.229166667,0.15942029,0.188034188,0.222797927,0.105960265,5,0.658521925
Velocity-1.5,0.62962963,0.184782609,0.285714286,0.190217391,0.076923077,5,0.56967518
Velocity-1.6,0.951612903,0.135011442,0.236472946,0.230576441,0.105442177,0,0.577664937
Xalan-2.5,0.43,0.259036145,0.323308271,0.23964497,0.134228188,5,0.580734265
Xalan-2.6,0.435714286,0.282407407,0.342696629,0.298850575,0.230263158,2,0.577381033
Xalan-2.7,0.32,0.496551724,0.389189189,0.447761194,0.258027523,17,0.750923077
Xerces-1.2,0.465517241,0.287234043,0.355263158,0.408,0.120207254,6,0.722723511
Xerces-1.3,0.075,0.375,0.125,0.333333333,0.331950207,0,0.580227689
Xerces-1.4,0.085271318,0.275,0.130177515,0.267857143,0.366477273,1,0.55100219
max,1,0.676056338,0.655290102,0.67826087,0.705607477,17,0.87451903
up_one_forth,0.634715929,0.430053156,0.453084899,0.371322474,0.357845506,5,0.719103081
median,0.457117595,0.29226567,0.333172468,0.303271441,0.223239687,1.5,0.610911322
mean,0.476447248,0.326989706,0.332559497,0.315147663,0.250916646,3.966666667,0.62673031
down_one_forth,0.266666667,0.208139535,0.224358974,0.241802693,0.123712487,0.25,0.561413668
min,0.069767442,0.100806452,0.111111111,0.153225806,0.076923077,0,0.40659302
