Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.149253731,0.25,0.186915888,0.255319149,0.376404494,1,0.486325931
Ant-1.5,0.232394366,0.44,0.304147465,0.287610619,0.464052288,8,0.672682323
Ant-1.6,0.212903226,0.417721519,0.282051282,0.281105991,0.496794872,5,0.67723897
Ant-1.7,0.109195402,0.395833333,0.171171171,0.29245283,0.474114441,41,0.648316454
Camel-1.2,0.016042781,0.272727273,0.03030303,0.333333333,0.380081301,144,0.51011903
Camel-1.4,0.326086957,0.405405405,0.361445783,0.395348837,0.422018349,3,0.765879095
Camel-1.6,0.954545455,0.444444444,0.606498195,0.423694779,0.429268293,0,0.716822668
Ivy-1.4,0.581967213,0.493055556,0.533834586,0.388888889,0.493927126,5,0.705608613
Ivy-2.0,0.526595745,0.487684729,0.506393862,0.428797468,0.552941176,11,0.699208087
Jedit-4.0,0.081967213,0.405405405,0.136363636,0.41025641,0.582802548,27,0.696076007
Jedit-4.1,0.435643564,0.35483871,0.391111111,0.284274194,0.524675325,14,0.598130122
Jedit-4.2,0.056818182,0.3125,0.096153846,0.285714286,0.600682594,64,0.657217323
Jedit-4.3,0.532871972,0.548042705,0.540350877,0.418,0.653846154,9,0.762317976
Log4j-1.1,0.215909091,0.316666667,0.256756757,0.222222222,0.396396396,5,0.483812145
Log4j-1.2,0.205128205,0.279069767,0.236453202,0.24137931,0.45703125,9,0.533164509
Lucene-2.2,0.621794872,0.683098592,0.651006711,0.558912387,0.728971963,0,0.887365587
Lucene-2.4,0.282208589,0.58974359,0.381742739,0.494736842,0.711790393,12,0.796929045
Poi-2.0,0.4595186,0.542635659,0.497630332,0.493408663,0.569115816,7,0.76036727
Poi-2.5,0.352664577,0.547445255,0.428979981,0.4832,0.720903955,8,0.809222535
Poi-3.0,0.982677165,0.694877506,0.81409002,0.610057708,0.698569857,0,0.957299175
Synapse-1.1,0.151685393,0.76056338,0.2529274,0.730434783,0.809090909,2,0.876726083
Synapse-1.2,0.128205128,0.652173913,0.214285714,0.487046632,0.774834437,0,0.69951625
Velocity-1.5,0.176056338,0.27173913,0.213675214,0.173913043,0.404558405,17,0.525067161
Velocity-1.6,0.754385965,0.590389016,0.662387677,0.425438596,0.581632653,1,0.728065948
Xalan-2.5,0.132930514,0.265060241,0.177062374,0.183431953,0.444295302,36,0.50261024
Xalan-2.6,0.40625,0.481481481,0.440677966,0.388888889,0.421052632,2,0.602188033
Xalan-2.7,0.124497992,0.427586207,0.192846034,0.319402985,0.571100917,65,0.572404896
Xerces-1.2,0.188640974,0.494680851,0.273127753,0.368,0.510880829,2,0.648604263
Xerces-1.3,0.056338028,0.5,0.101265823,0.444444444,0.589211618,11,0.6430206
Xerces-1.4,0.038674033,0.175,0.063348416,0.125,0.514204545,109,0.35297586
max,0.982677165,0.76056338,0.81409002,0.730434783,0.809090909,144,0.957299175
up_one_forth,0.453549841,0.546242856,0.48339224,0.4405327,0.59781485,16.25,0.75229194
median,0.214406158,0.442222222,0.277589518,0.388888889,0.519439935,8,0.674960647
mean,0.316461709,0.449995678,0.333500162,0.374490508,0.545175028,20.6,0.66584274
down_one_forth,0.129386475,0.326209677,0.188398424,0.284634217,0.447479289,2,0.578836203
min,0.016042781,0.175,0.03030303,0.125,0.376404494,0,0.35297586
