Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.253968254,0.4,0.310679612,0.382978723,0.353932584,0,0.638175573
Ant-1.5,0.247126437,0.573333333,0.345381526,0.35840708,0.568627451,19,0.739209373
Ant-1.6,0.209677419,0.493670886,0.294339623,0.382488479,0.596153846,20,0.749463055
Ant-1.7,0.094240838,0.375,0.150627615,0.216981132,0.520435967,16,0.616199335
Camel-1.2,0.009049774,0.181818182,0.017241379,0.25,0.449186992,122,0.508857014
Camel-1.4,0.352941176,0.324324324,0.338028169,0.38372093,0.311926606,11,0.742524942
Camel-1.6,0.909090909,0.423280423,0.577617329,0.401606426,0.429268293,0,0.701080094
Ivy-1.4,0.579710145,0.555555556,0.567375887,0.391304348,0.558704453,2,0.740226036
Ivy-2.0,0.537444934,0.600985222,0.56744186,0.488924051,0.667647059,2,0.795249378
Jedit-4.0,0.081521739,0.405405405,0.135746606,0.41025641,0.585987261,11,0.654745386
Jedit-4.1,0.461077844,0.310483871,0.371084337,0.27016129,0.433766234,12,0.567061759
Jedit-4.2,0.047337278,0.25,0.07960199,0.228571429,0.576791809,60,0.571376075
Jedit-4.3,0.537313433,0.512455516,0.524590164,0.386,0.606334842,6,0.759721755
Log4j-1.1,0.197183099,0.233333333,0.213740458,0.202020202,0.31981982,0,0.542676117
Log4j-1.2,0.227642276,0.325581395,0.267942584,0.296551724,0.48046875,1,0.640951005
Lucene-2.2,0.615384615,0.676056338,0.644295302,0.574018127,0.728971963,0,0.908163965
Lucene-2.4,0.329032258,0.653846154,0.43776824,0.531578947,0.676855895,10,0.804102968
Poi-2.0,0.444680851,0.54005168,0.487747958,0.49905838,0.585305106,3,0.750232195
Poi-2.5,0.370675453,0.547445255,0.442043222,0.4864,0.685875706,6,0.820868962
Poi-3.0,0.984375,0.70155902,0.819245774,0.633140973,0.704070407,0,0.962529639
Synapse-1.1,0.152542373,0.76056338,0.254117647,0.739130435,0.804545455,1,0.855125442
Synapse-1.2,0.131313131,0.565217391,0.213114754,0.393782383,0.655629139,7,0.646878308
Velocity-1.5,0.162962963,0.239130435,0.193832599,0.179347826,0.384615385,42,0.506341961
Velocity-1.6,0.660714286,0.592677346,0.624849216,0.417293233,0.666666667,0,0.757117586
Xalan-2.5,0.107954545,0.228915663,0.146718147,0.165680473,0.472483221,31,0.525419281
Xalan-2.6,0.433070866,0.25462963,0.320699708,0.239463602,0.208881579,3,0.485436356
Xalan-2.7,0.128731343,0.475862069,0.202643172,0.340298507,0.614678899,65,0.65433718
Xerces-1.2,0.176146789,0.510638298,0.261937244,0.41,0.564766839,4,0.703748332
Xerces-1.3,0.032258065,0.3125,0.058479532,0.277777778,0.643153527,11,0.55879008
Xerces-1.4,0.049180328,0.225,0.080717489,0.178571429,0.519886364,44,0.497599426
max,0.984375,0.76056338,0.819245774,0.739130435,0.804545455,122,0.962529639
up_one_forth,0.456978596,0.562801932,0.476321774,0.415534027,0.652510236,18.25,0.755396239
median,0.237384357,0.449571246,0.302509617,0.383349827,0.57270963,6.5,0.67791274
mean,0.317478281,0.441644004,0.331654971,0.370517144,0.545847937,16.96666667,0.680140286
down_one_forth,0.12937679,0.310987903,0.196035242,0.255040323,0.455011049,1.25,0.568140338
min,0.009049774,0.181818182,0.017241379,0.165680473,0.208881579,0,0.485436356
