Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.189189189,0.525,0.278145695,0.468085106,0.623595506,0,0.759237019
Ant-1.5,0.140350877,0.426666667,0.211221122,0.199115044,0.745098039,13,0.612105705
Ant-1.6,0.131004367,0.379746835,0.194805195,0.235023041,0.733974359,7,0.639148641
Ant-1.7,0.050980392,0.270833333,0.085808581,0.160377358,0.694822888,32,0.507205052
Camel-1.2,0.014450867,0.454545455,0.028011204,0.416666667,0.703252033,65,0.672459172
Camel-1.4,0.14516129,0.243243243,0.181818182,0.162790698,0.568807339,2,0.479533514
Camel-1.6,0.935483871,0.613756614,0.741214058,0.546184739,0.604878049,0,0.91299909
Ivy-1.4,0.524390244,0.597222222,0.558441558,0.38647343,0.663967611,4,0.677600647
Ivy-2.0,0.525210084,0.615763547,0.566893424,0.473101266,0.7,1,0.789620532
Jedit-4.0,0.085427136,0.459459459,0.144067797,0.461538462,0.633757962,23,0.669277317
Jedit-4.1,0.575510204,0.568548387,0.572008114,0.493951613,0.636363636,16,0.836767877
Jedit-4.2,0.051546392,0.3125,0.088495575,0.285714286,0.662116041,39,0.558846032
Jedit-4.3,0.525773196,0.544483986,0.534965035,0.422,0.658371041,7,0.749773612
Log4j-1.1,0.1796875,0.383333333,0.244680851,0.272727273,0.576576577,0,0.541666494
Log4j-1.2,0.197368421,0.348837209,0.25210084,0.310344828,0.59375,10,0.594091639
Lucene-2.2,0.613924051,0.683098592,0.646666667,0.480362538,0.738317757,0,0.88560058
Lucene-2.4,0.280701754,0.615384615,0.385542169,0.457894737,0.746724891,15,0.784233853
Poi-2.0,0.418244406,0.627906977,0.502066116,0.538606403,0.723536737,1,0.831652481
Poi-2.5,0.34836703,0.545012165,0.425047438,0.4736,0.726553672,11,0.793376846
Poi-3.0,0.983128834,0.713808463,0.827096774,0.634789777,0.717271727,0,0.969730083
Synapse-1.1,0.145945946,0.76056338,0.244897959,0.730434783,0.840909091,1,0.849987348
Synapse-1.2,0.118421053,0.652173913,0.200445434,0.466321244,0.838852097,6,0.646398582
Velocity-1.5,0.104803493,0.260869565,0.14953271,0.152173913,0.652421652,54,0.493749436
Velocity-1.6,0.701052632,0.76201373,0.730263158,0.450501253,0.807823129,1,0.803629468
Xalan-2.5,0.096033403,0.277108434,0.142635659,0.174556213,0.64295302,58,0.452287343
Xalan-2.6,0.341207349,0.601851852,0.435510888,0.409961686,0.626644737,6,0.650363498
Xalan-2.7,0.120938628,0.462068966,0.191702432,0.331343284,0.635321101,68,0.567605225
Xerces-1.2,0.165316045,0.542553191,0.253416149,0.38,0.639378238,6,0.623330895
Xerces-1.3,0.027932961,0.3125,0.051282051,0.277777778,0.742738589,20,0.580094456
Xerces-1.4,0.038610039,0.25,0.066889632,0.196428571,0.735795455,37,0.520629633
max,0.983128834,0.76201373,0.827096774,0.730434783,0.840909091,68,0.969730083
up_one_forth,0.497853784,0.614977615,0.526740305,0.471847226,0.735340181,22.25,0.792437767
median,0.172501773,0.533776596,0.2484994,0.413314176,0.67939525,7,0.659820408
mean,0.292538722,0.493695138,0.331189082,0.3816282,0.687152432,16.76666667,0.681766736
down_one_forth,0.108207883,0.356564616,0.157604078,0.273989899,0.635581735,1,0.570727533
min,0.014450867,0.243243243,0.028011204,0.152173913,0.568807339,0,0.452287343
