Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.194029851,0.325,0.242990654,0.29787234,0.376404494,7,0.611420102
Ant-1.5,0.269736842,0.546666667,0.36123348,0.340707965,0.496732026,20,0.723153422
Ant-1.6,0.232258065,0.455696203,0.307692308,0.368663594,0.496794872,23,0.728461847
Ant-1.7,0.088888889,0.333333333,0.140350877,0.20754717,0.490463215,22,0.60361141
Camel-1.2,0.01734104,0.272727273,0.032608696,0.333333333,0.351626016,98,0.513554707
Camel-1.4,0.342105263,0.351351351,0.346666667,0.372093023,0.348623853,16,0.662187323
Camel-1.6,0.920792079,0.492063492,0.64137931,0.465863454,0.492682927,0,0.794843736
Ivy-1.4,0.574468085,0.5625,0.568421053,0.40821256,0.570850202,2,0.75504753
Ivy-2.0,0.528384279,0.596059113,0.560185185,0.501582278,0.673529412,2,0.804676342
Jedit-4.0,0.071428571,0.351351351,0.118721461,0.358974359,0.579617834,21,0.668739131
Jedit-4.1,0.46,0.278225806,0.346733668,0.239919355,0.38961039,2,0.454224364
Jedit-4.2,0.050561798,0.28125,0.085714286,0.257142857,0.607508532,47,0.638598654
Jedit-4.3,0.555555556,0.516014235,0.535055351,0.406,0.590497738,1,0.773816306
Log4j-1.1,0.179487179,0.233333333,0.202898551,0.191919192,0.351351351,0,0.542968945
Log4j-1.2,0.288288288,0.372093023,0.324873096,0.317241379,0.43359375,1,0.649789233
Lucene-2.2,0.615384615,0.676056338,0.644295302,0.549848943,0.728971963,0,0.906737479
Lucene-2.4,0.322580645,0.641025641,0.429184549,0.542105263,0.676855895,11,0.811834446
Poi-2.0,0.471232877,0.444444444,0.457446809,0.412429379,0.454545455,4,0.642764679
Poi-2.5,0.370065789,0.547445255,0.441609421,0.488,0.68700565,4,0.817318146
Poi-3.0,0.993031359,0.634743875,0.774456522,0.59274526,0.631463146,0,0.901019171
Synapse-1.1,0.167164179,0.788732394,0.275862069,0.756521739,0.761363636,1,0.865796397
Synapse-1.2,0.152542373,0.52173913,0.236065574,0.362694301,0.520971302,10,0.623601227
Velocity-1.5,0.166666667,0.239130435,0.196428571,0.179347826,0.376068376,36,0.53242428
Velocity-1.6,0.827067669,0.503432494,0.625889047,0.402255639,0.452380952,0,0.716764726
Xalan-2.5,0.130872483,0.234939759,0.168103448,0.165680473,0.4,28,0.522583453
Xalan-2.6,0.421487603,0.236111111,0.302670623,0.233716475,0.199013158,3,0.474473343
Xalan-2.7,0.138339921,0.482758621,0.215053763,0.349253731,0.580275229,38,0.668862269
Xerces-1.2,0.240786241,0.521276596,0.329411765,0.45,0.421761658,1,0.699556279
Xerces-1.3,0.034285714,0.375,0.062827225,0.333333333,0.726141079,10,0.55743644
Xerces-1.4,0.089041096,0.325,0.139784946,0.267857143,0.414772727,9,0.542585231
max,0.993031359,0.788732394,0.774456522,0.756521739,0.761363636,98,0.906737479
up_one_forth,0.468424658,0.540434783,0.453487462,0.440607345,0.603255834,20.75,0.769124112
median,0.255261541,0.450070323,0.316282702,0.36083433,0.494707476,5.5,0.665463227
mean,0.330462501,0.437983376,0.337153809,0.371762079,0.509382561,13.9,0.673628354
down_one_forth,0.141890534,0.325,0.198046066,0.275360942,0.403693182,1,0.568980183
min,0.01734104,0.233333333,0.032608696,0.165680473,0.199013158,0,0.454224364
