Testing Datasets,Precision@20%,Recall@20%,F1,PofB@20%,PMI@20%,IFA,Norm(Popt)
Ant-1.4,0.153846154,0.25,0.19047619,0.255319149,0.365168539,1,0.515137828
Ant-1.5,0.228571429,0.426666667,0.297674419,0.283185841,0.45751634,9,0.663901127
Ant-1.6,0.219354839,0.430379747,0.290598291,0.285714286,0.496794872,5,0.656900656
Ant-1.7,0.108571429,0.395833333,0.170403587,0.29245283,0.476839237,42,0.648325481
Camel-1.2,0.015957447,0.272727273,0.030150754,0.333333333,0.382113821,143,0.523363905
Camel-1.4,0.333333333,0.405405405,0.365853659,0.395348837,0.412844037,3,0.777715061
Camel-1.6,0.95505618,0.44973545,0.611510791,0.421686747,0.434146341,0,0.713405968
Ivy-1.4,0.581967213,0.493055556,0.533834586,0.391304348,0.493927126,5,0.700219189
Ivy-2.0,0.521052632,0.487684729,0.503816794,0.416139241,0.558823529,11,0.692224217
Jedit-4.0,0.086956522,0.432432432,0.14479638,0.435897436,0.585987261,27,0.700105948
Jedit-4.1,0.435643564,0.35483871,0.391111111,0.284274194,0.524675325,14,0.592178847
Jedit-4.2,0.056818182,0.3125,0.096153846,0.285714286,0.600682594,64,0.655074693
Jedit-4.3,0.532871972,0.548042705,0.540350877,0.418,0.653846154,9,0.76264828
Log4j-1.1,0.224719101,0.333333333,0.268456376,0.232323232,0.400900901,0,0.496230627
Log4j-1.2,0.201680672,0.279069767,0.234146341,0.24137931,0.46484375,9,0.533821472
Lucene-2.2,0.621794872,0.683098592,0.651006711,0.558912387,0.728971963,0,0.887984465
Lucene-2.4,0.282208589,0.58974359,0.381742739,0.494736842,0.711790393,12,0.797345114
Poi-2.0,0.458333333,0.54005168,0.495848161,0.491525424,0.567870486,7,0.75741749
Poi-2.5,0.352664577,0.547445255,0.428979981,0.4832,0.720903955,8,0.809188711
Poi-3.0,0.982704403,0.695991091,0.814863103,0.61088211,0.699669967,0,0.957334563
Synapse-1.1,0.152112676,0.76056338,0.253521127,0.730434783,0.806818182,1,0.876495057
Synapse-1.2,0.128205128,0.652173913,0.214285714,0.487046632,0.774834437,0,0.699267537
Velocity-1.5,0.176056338,0.27173913,0.213675214,0.168478261,0.404558405,16,0.523823068
Velocity-1.6,0.753665689,0.588100686,0.66066838,0.414160401,0.579931973,1,0.727557187
Xalan-2.5,0.133738602,0.265060241,0.177777778,0.183431953,0.441610738,34,0.502140683
Xalan-2.6,0.409961686,0.49537037,0.448637317,0.398467433,0.429276316,2,0.60620998
Xalan-2.7,0.122244489,0.420689655,0.189440994,0.310447761,0.572247706,65,0.572895431
Xerces-1.2,0.191532258,0.505319149,0.277777778,0.372,0.513989637,2,0.652758545
Xerces-1.3,0.048275862,0.4375,0.086956522,0.388888889,0.601659751,12,0.628128427
Xerces-1.4,0.039106145,0.175,0.063926941,0.125,0.508522727,105,0.338306108
max,0.982704403,0.76056338,0.814863103,0.730434783,0.806818182,143,0.957334563
up_one_forth,0.452660891,0.545596862,0.48404545,0.432344764,0.601415462,15.5,0.749952414
median,0.22203697,0.434966216,0.284188034,0.390096618,0.519332481,8.5,0.660400891
mean,0.316966844,0.449985061,0.334281415,0.372989531,0.545725549,20.23333333,0.665603522
down_one_forth,0.129588497,0.338709677,0.189699793,0.284634217,0.445587139,1.25,0.577716285
min,0.015957447,0.175,0.030150754,0.125,0.365168539,0,0.338306108
