Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.421052632,0.2,0.212765957,0.106741573,2,0.487257008,0.366666667,0.275
Ant-1.5,0.373493976,0.413333333,0.287610619,0.27124183,7,0.719351442,0.455445545,0.613333333
Ant-1.6,0.546875,0.443037975,0.396313364,0.205128205,4,0.726354536,0.571428571,0.506329114
Ant-1.7,0.264705882,0.375,0.216981132,0.185286104,13,0.61344392,0.359550562,0.666666667
Camel-1.2,0.049180328,0.272727273,0.333333333,0.12398374,20,0.584750687,0.088235294,0.545454545
Camel-1.4,0.6,0.243243243,0.255813953,0.137614679,2,0.590025062,0.692307692,0.486486486
Camel-1.6,0.829787234,0.206349206,0.212851406,0.229268293,0,0.392151373,0.868421053,0.349206349
Ivy-1.4,0.671232877,0.340277778,0.263285024,0.295546559,1,0.593058292,0.719626168,0.534722222
Ivy-2.0,0.543046358,0.403940887,0.35443038,0.444117647,3,0.625743024,0.61722488,0.63546798
Jedit-4.0,0.089285714,0.27027027,0.282051282,0.356687898,9,0.485437197,0.113402062,0.594594595
Jedit-4.1,0.658536585,0.108870968,0.147177419,0.106493506,1,0.407147364,0.659574468,0.125
Jedit-4.2,0.107142857,0.1875,0.171428571,0.19112628,38,0.376890113,0.121212121,0.25
Jedit-4.3,0.715189873,0.402135231,0.302,0.357466063,3,0.572121586,0.717948718,0.498220641
Log4j-1.1,0.368421053,0.116666667,0.191919192,0.085585586,7,0.541881341,0.523809524,0.183333333
Log4j-1.2,0.5,0.255813953,0.248275862,0.171875,7,0.549786026,0.491803279,0.348837209
Lucene-2.2,0.622516556,0.661971831,0.50755287,0.705607477,0,0.806013003,0.657608696,0.852112676
Lucene-2.4,0.377192982,0.551282051,0.421052632,0.497816594,14,0.743746029,0.437086093,0.846153846
Poi-2.0,0.630952381,0.136950904,0.1826742,0.104607721,1,0.514249006,0.594827586,0.178294574
Poi-2.5,0.495575221,0.408759124,0.3584,0.383050847,4,0.602897097,0.614561028,0.698296837
Poi-3.0,1,0.311804009,0.341302556,0.308030803,0,0.475149565,1,0.448775056
Synapse-1.1,0.228723404,0.605633803,0.643478261,0.427272727,3,0.792693396,0.237704918,0.816901408
Synapse-1.2,0.244897959,0.173913043,0.196891192,0.10816777,16,0.580865385,0.234375,0.217391304
Velocity-1.5,0.5,0.217391304,0.173913043,0.113960114,8,0.477317486,0.551724138,0.347826087
Velocity-1.6,0.96969697,0.146453089,0.265037594,0.112244898,0,0.537903806,0.946666667,0.162471396
Xalan-2.5,0.343283582,0.277108434,0.213017751,0.179865772,19,0.549926844,0.474285714,0.5
Xalan-2.6,0.471428571,0.152777778,0.222222222,0.115131579,3,0.510552489,0.68,0.078703704
Xalan-2.7,0.238493724,0.393103448,0.310447761,0.274082569,20,0.62713939,0.291970803,0.551724138
Xerces-1.2,0.410958904,0.319148936,0.43,0.151295337,1,0.684468664,0.404761905,0.361702128
Xerces-1.3,0.073170732,0.375,0.333333333,0.340248963,4,0.533296881,0.104,0.8125
Xerces-1.4,0.2,0.15,0.178571429,0.085227273,9,0.519148848,0.181818182,0.1
