Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.4,0.1,0.085106383,0.056179775,0,0.379392231,0.347826087,0.2
Ant-1.5,0.472727273,0.346666667,0.274336283,0.179738562,7,0.627707906,0.474226804,0.613333333
Ant-1.6,0.694444444,0.316455696,0.285714286,0.115384615,1,0.50956626,0.652173913,0.569620253
Ant-1.7,0.306122449,0.3125,0.198113208,0.133514986,0,0.543450709,0.372340426,0.729166667
Camel-1.2,0.076923077,0.090909091,0.083333333,0.026422764,9,0.598256871,0.103448276,0.272727273
Camel-1.4,0.75,0.162162162,0.139534884,0.073394495,0,0.522572433,0.76,0.513513514
Camel-1.6,0.916666667,0.116402116,0.146586345,0.117073171,0,0.345848054,0.928571429,0.275132275
Ivy-1.4,0.720930233,0.215277778,0.178743961,0.174089069,0,0.454261833,0.679245283,0.5
Ivy-2.0,0.637096774,0.389162562,0.32278481,0.364705882,0,0.540465773,0.662393162,0.763546798
Jedit-4.0,0.050847458,0.162162162,0.179487179,0.375796178,15,0.390781668,0.122727273,0.72972973
Jedit-4.1,0.442477876,0.201612903,0.169354839,0.293506494,0,0.348099554,0.75,0.012096774
Jedit-4.2,0.049079755,0.25,0.228571429,0.556313993,0,0.564321816,0.24,0.1875
Jedit-4.3,0.711864407,0.448398577,0.33,0.400452489,2,0.595787665,0.748447205,0.857651246
Log4j-1.1,0.305555556,0.183333333,0.171717172,0.162162162,0,0.439394494,0.5,0.016666667
Log4j-1.2,0.6,0.139534884,0.151724138,0.078125,1,0.532141828,0.555555556,0.290697674
Lucene-2.2,0.61589404,0.654929577,0.528700906,0.705607477,0,0.83588258,0.657142857,0.971830986
Lucene-2.4,0.361904762,0.487179487,0.347368421,0.458515284,13,0.640521896,0.388888889,0.897435897
Poi-2.0,0.571428571,0.299741602,0.316384181,0.252801993,1,0.55712788,0.759493671,0.15503876
Poi-2.5,0.468085106,0.321167883,0.3008,0.318644068,32,0.640159462,0.532786885,0.632603406
Poi-3.0,1,0.231625835,0.269579555,0.228822882,0,0.394163997,1,0.4922049
Synapse-1.1,0.18579235,0.478873239,0.530434783,0.415909091,1,0.777264367,0.181451613,0.633802817
Synapse-1.2,0.142857143,0.536231884,0.383419689,0.571743929,0,0.582992616,0.083333333,0.014492754
Velocity-1.5,0.164948454,0.173913043,0.152173913,0.276353276,0,0.472057502,0.7,0.152173913
Velocity-1.6,0.816901408,0.398169336,0.299498747,0.362244898,0,0.523794156,0.911764706,0.070938215
Xalan-2.5,0.506666667,0.228915663,0.210059172,0.100671141,6,0.567725088,0.528301887,0.506024096
Xalan-2.6,0.322222222,0.134259259,0.109195402,0.148026316,2,0.384231044,0,0
Xalan-2.7,0.266055046,0.2,0.205970149,0.125,2,0.566085553,0.279475983,0.44137931
Xerces-1.2,0.172680412,0.356382979,0.308,0.402072539,2,0.586415769,0.285714286,0.074468085
Xerces-1.3,0.066666667,0.3125,0.277777778,0.31120332,0,0.534908459,0.100719424,0.875
Xerces-1.4,0.060606061,0.15,0.160714286,0.28125,12,0.477152484,0,0
