Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.307692308,0.1,0.127659574,0.073033708,2,0.535068687,0.25,0.1
Ant-1.5,0.426229508,0.346666667,0.256637168,0.199346405,7,0.715526053,0.518987342,0.546666667
Ant-1.6,0.666666667,0.329113924,0.30875576,0.125,1,0.739381544,0.705882353,0.455696203
Ant-1.7,0.31372549,0.333333333,0.198113208,0.138964578,8,0.61826357,0.405797101,0.583333333
Camel-1.2,0.15,0.272727273,0.25,0.040650407,8,0.730453549,0.142857143,0.272727273
Camel-1.4,0.705882353,0.324324324,0.360465116,0.155963303,3,0.728862183,0.75,0.567567568
Camel-1.6,0.933333333,0.148148148,0.174698795,0.146341463,0,0.386456226,0.961538462,0.264550265
Ivy-1.4,0.779661017,0.319444444,0.253623188,0.238866397,2,0.559759168,0.744897959,0.506944444
Ivy-2.0,0.566037736,0.443349754,0.381329114,0.467647059,0,0.676402004,0.640816327,0.773399015
Jedit-4.0,0.075,0.243243243,0.230769231,0.382165605,3,0.503087962,0.12254902,0.675675676
Jedit-4.1,0.909090909,0.040322581,0.100806452,0.028571429,0,0.379160755,0.916666667,0.044354839
Jedit-4.2,0.097087379,0.3125,0.314285714,0.351535836,3,0.69609535,0.285714286,0.3125
Jedit-4.3,0.694174757,0.508896797,0.392,0.466063348,3,0.666375372,0.748407643,0.836298932
Log4j-1.1,0.5625,0.15,0.252525253,0.072072072,1,0.567102483,0.6,0.2
Log4j-1.2,0.566666667,0.197674419,0.227586207,0.1171875,4,0.53685523,0.627906977,0.313953488
Lucene-2.2,0.621794872,0.683098592,0.534743202,0.728971963,0,0.883910672,0.656862745,0.943661972
Lucene-2.4,0.417475728,0.551282051,0.426315789,0.449781659,0,0.73584072,0.466666667,0.897435897
Poi-2.0,0.872340426,0.105943152,0.171374765,0.058530511,0,0.68306136,0.826923077,0.111111111
Poi-2.5,0.431095406,0.296836983,0.3168,0.319774011,11,0.574360796,0.567357513,0.532846715
Poi-3.0,1,0.228285078,0.261335532,0.225522552,0,0.391940147,1,0.396436526
Synapse-1.1,0.154109589,0.633802817,0.652173913,0.663636364,1,0.832448641,0.171875,0.774647887
Synapse-1.2,0.625,0.072463768,0.176165803,0.017660044,1,0.737662863,0.666666667,0.086956522
Velocity-1.5,0.708333333,0.184782609,0.184782609,0.068376068,0,0.589475292,0.724137931,0.22826087
Velocity-1.6,0.975609756,0.091533181,0.214912281,0.069727891,0,0.63743667,0.980392157,0.114416476
Xalan-2.5,0.534246575,0.234939759,0.25443787,0.097986577,5,0.608827078,0.63559322,0.451807229
Xalan-2.6,0.348017621,0.365740741,0.272030651,0.373355263,1,0.570482838,0.714285714,0.023148148
Xalan-2.7,0.353658537,0.2,0.235820896,0.094036697,3,0.601150066,0.375,0.248275862
Xerces-1.2,0.178683386,0.303191489,0.316,0.330569948,0,0.5871358,0.375,0.079787234
Xerces-1.3,0.058823529,0.25,0.222222222,0.282157676,1,0.503369711,0.106382979,0.625
Xerces-1.4,0.024875622,0.125,0.107142857,0.571022727,39,0.407913887,0,0
