Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.266666667,0.1,0.127659574,0.084269663,3,0.437128828,0,0
Ant-1.5,0.419753086,0.453333333,0.32300885,0.264705882,2,0.710190513,0.529411765,0.6
Ant-1.6,0.617021277,0.367088608,0.322580645,0.150641026,3,0.720995339,0.548076923,0.721518987
Ant-1.7,0.370967742,0.479166667,0.358490566,0.16893733,3,0.746375991,0.478873239,0.708333333
Camel-1.2,0.071428571,0.272727273,0.333333333,0.085365854,8,0.760897393,0.12195122,0.454545455
Camel-1.4,0.733333333,0.297297297,0.348837209,0.137614679,1,0.716946333,0.75,0.486486486
Camel-1.6,0.941176471,0.169312169,0.186746988,0.165853659,0,0.398933504,0.95,0.301587302
Ivy-1.4,0.524390244,0.597222222,0.38647343,0.663967611,4,0.677534525,0.764705882,0.541666667
Ivy-2.0,0.576271186,0.502463054,0.42721519,0.520588235,0,0.72827576,0.679069767,0.719211823
Jedit-4.0,0.051094891,0.189189189,0.179487179,0.436305732,10,0.504784844,0.144927536,0.27027027
Jedit-4.1,0.696969697,0.092741935,0.133064516,0.085714286,1,0.409121907,0.653846154,0.068548387
Jedit-4.2,0.191489362,0.28125,0.257142857,0.160409556,16,0.635534054,0,0
Jedit-4.3,0.671794872,0.466192171,0.354,0.441176471,1,0.621911061,0.724590164,0.786476868
Log4j-1.1,0.285714286,0.2,0.262626263,0.189189189,0,0.560997005,0,0
Log4j-1.2,0.425,0.197674419,0.172413793,0.15625,6,0.511979636,0.544117647,0.430232558
Lucene-2.2,0.621794872,0.683098592,0.498489426,0.728971963,0,0.861111597,0.655339806,0.950704225
Lucene-2.4,0.353535354,0.448717949,0.4,0.43231441,11,0.652207046,0.342105263,1
Poi-2.0,0.631578947,0.124031008,0.165725047,0.094645081,0,0.602531699,1,0.033591731
Poi-2.5,0.47985348,0.318734793,0.3136,0.308474576,28,0.635074345,0.516994633,0.703163017
Poi-3.0,0.996047431,0.280623608,0.318219291,0.278327833,0,0.447249745,1,0.302895323
Synapse-1.1,0.202531646,0.676056338,0.695652174,0.538636364,3,0.85705095,0.199335548,0.845070423
Synapse-1.2,0.114058355,0.623188406,0.430051813,0.832229581,8,0.686997636,0.32,0.115942029
Velocity-1.5,0.633333333,0.206521739,0.206521739,0.085470085,2,0.545312265,0,0
Velocity-1.6,0.715294118,0.695652174,0.435463659,0.722789116,0,0.771286137,1,0.068649886
Xalan-2.5,0.434782609,0.240963855,0.221893491,0.123489933,12,0.561613169,0.55,0.530120482
Xalan-2.6,0.296296296,0.185185185,0.162835249,0.222039474,2,0.469379269,0.625,0.023148148
Xalan-2.7,0.317073171,0.179310345,0.217910448,0.094036697,1,0.555922206,0.428571429,0.331034483
Xerces-1.2,0.172764228,0.45212766,0.378,0.50984456,0,0.639738827,0.398058252,0.218085106
Xerces-1.3,0.066666667,0.3125,0.277777778,0.31120332,2,0.549471281,0.100917431,0.6875
Xerces-1.4,0.260869565,0.15,0.196428571,0.065340909,13,0.536162163,0.384615385,0.125
