Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.4,0.2,0.234042553,0.112359551,4,0.379781224,0.307692308,0.3
Ant-1.5,0.444444444,0.373333333,0.261061947,0.205882353,6,0.672923169,0.4875,0.52
Ant-1.6,0.627906977,0.341772152,0.341013825,0.137820513,6,0.594560216,0.636363636,0.443037975
Ant-1.7,0.354166667,0.354166667,0.245283019,0.130790191,7,0.600209321,0.409090909,0.5625
Camel-1.2,0.05,0.181818182,0.166666667,0.081300813,21,0.406471911,0.075471698,0.363636364
Camel-1.4,0.764705882,0.351351351,0.406976744,0.155963303,3,0.727404962,0.827586207,0.648648649
Camel-1.6,0.942857143,0.174603175,0.204819277,0.170731707,0,0.321274641,0.966101695,0.301587302
Ivy-1.4,0.840909091,0.256944444,0.214975845,0.178137652,1,0.471614626,0.782608696,0.375
Ivy-2.0,0.803030303,0.261083744,0.303797468,0.194117647,0,0.526334677,0.811320755,0.42364532
Jedit-4.0,0.173913043,0.216216216,0.205128205,0.146496815,5,0.38160794,0.222222222,0.432432432
Jedit-4.1,0.72,0.072580645,0.106854839,0.064935065,1,0.215448303,0.75,0.096774194
Jedit-4.2,0.056338028,0.25,0.228571429,0.484641638,47,0.603770567,0.116161616,0.71875
Jedit-4.3,0.85,0.181494662,0.174,0.135746606,2,0.388511297,0.853932584,0.270462633
Log4j-1.1,0.367346939,0.3,0.232323232,0.220720721,4,0.567979696,0.458823529,0.65
Log4j-1.2,0.5,0.209302326,0.186206897,0.140625,0,0.444886373,0.602941176,0.476744186
Lucene-2.2,0.621794872,0.683098592,0.49244713,0.728971963,0,0.877181227,0.65625,0.887323944
Lucene-2.4,0.558139535,0.307692308,0.236842105,0.187772926,1,0.398356522,0.518518519,0.358974359
Poi-2.0,0.602409639,0.129198966,0.146892655,0.103362391,1,0.265946456,0.637681159,0.227390181
Poi-2.5,0.66442953,0.240875912,0.2688,0.168361582,2,0.674656488,0.707865169,0.306569343
Poi-3.0,1,0.160356347,0.202802968,0.158415842,0,0.257182762,1,0.275055679
Synapse-1.1,0.196078431,0.14084507,0.147826087,0.115909091,10,0.414600504,0.235294118,0.225352113
Synapse-1.2,0.4,0.202898551,0.165803109,0.077262693,3,0.546327501,0.425531915,0.289855072
Velocity-1.5,0.371428571,0.282608696,0.233695652,0.199430199,17,0.560020396,0.483333333,0.630434783
Velocity-1.6,0.963636364,0.121281465,0.215538847,0.093537415,0,0.401548865,0.964705882,0.187643021
Xalan-2.5,0.4,0.228915663,0.195266272,0.127516779,8,0.537251604,0.532467532,0.493975904
Xalan-2.6,0.484848485,0.148148148,0.185823755,0.108552632,2,0.483055906,0.619047619,0.12037037
Xalan-2.7,0.317307692,0.227586207,0.262686567,0.119266055,5,0.541582788,0.34,0.351724138
Xerces-1.2,0.32038835,0.175531915,0.288,0.106735751,3,0.521667153,0.340277778,0.260638298
Xerces-1.3,0.102564103,0.25,0.222222222,0.161825726,15,0.50886954,0.174603175,0.6875
Xerces-1.4,0.307692308,0.2,0.285714286,0.073863636,9,0.500684901,0.41025641,0.4
