Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.368421053,0.175,0.170212766,0.106741573,2,0.442922094,0.333333333,0.2
Ant-1.5,0.459459459,0.453333333,0.314159292,0.241830065,6,0.773622212,0.540816327,0.706666667
Ant-1.6,0.545454545,0.379746835,0.3640553,0.176282051,3,0.789431847,0.625,0.506329114
Ant-1.7,0.375,0.4375,0.29245283,0.152588556,7,0.661581004,0.449275362,0.645833333
Camel-1.2,0.121212121,0.363636364,0.416666667,0.067073171,4,0.805866193,0.135135135,0.454545455
Camel-1.4,0.764705882,0.351351351,0.372093023,0.155963303,2,0.674821249,0.75862069,0.594594595
Camel-1.6,0.909090909,0.158730159,0.18875502,0.16097561,0,0.400257617,0.948275862,0.291005291
Ivy-1.4,0.701492537,0.326388889,0.265700483,0.271255061,1,0.607659675,0.740384615,0.534722222
Ivy-2.0,0.603896104,0.458128079,0.416139241,0.452941176,1,0.662004407,0.682692308,0.699507389
Jedit-4.0,0.076335878,0.27027027,0.282051282,0.417197452,13,0.506345644,0.131707317,0.72972973
Jedit-4.1,0.742857143,0.10483871,0.171370968,0.090909091,1,0.322937675,0.756756757,0.112903226
Jedit-4.2,0.127906977,0.34375,0.342857143,0.293515358,22,0.649946289,0.138888889,0.15625
Jedit-4.3,0.695187166,0.462633452,0.366,0.423076923,2,0.666016406,0.745387454,0.71886121
Log4j-1.1,0.361111111,0.216666667,0.282828283,0.162162162,2,0.509525684,0.6,0.1
Log4j-1.2,0.516129032,0.186046512,0.227586207,0.12109375,5,0.581618542,0.595744681,0.325581395
Lucene-2.2,0.632258065,0.690140845,0.513595166,0.724299065,0,0.88618927,0.668316832,0.950704225
Lucene-2.4,0.377192982,0.551282051,0.405263158,0.497816594,10,0.727441233,0.447368421,0.871794872
Poi-2.0,0.656716418,0.11369509,0.150659134,0.083437111,0,0.55219352,0.698630137,0.131782946
Poi-2.5,0.534124629,0.437956204,0.3952,0.38079096,4,0.65261597,0.624463519,0.708029197
Poi-3.0,1,0.311804009,0.339653751,0.308030803,0,0.489210456,1,0.46325167
Synapse-1.1,0.235897436,0.647887324,0.67826087,0.443181818,2,0.833839963,0.256756757,0.802816901
Synapse-1.2,0.25,0.173913043,0.233160622,0.105960265,5,0.642226566,0.228070175,0.188405797
Velocity-1.5,0.541666667,0.141304348,0.141304348,0.068376068,3,0.554082364,0.6,0.163043478
Velocity-1.6,1,0.107551487,0.236842105,0.079931973,0,0.580995551,0.983050847,0.132723112
Xalan-2.5,0.460674157,0.246987952,0.25147929,0.119463087,5,0.579735385,0.549668874,0.5
Xalan-2.6,0.505050505,0.231481481,0.256704981,0.162828947,3,0.509057838,0.625,0.023148148
Xalan-2.7,0.361386139,0.503448276,0.447761194,0.231651376,14,0.754970083,0.399159664,0.655172414
Xerces-1.2,0.480392157,0.260638298,0.404,0.105699482,5,0.7027142,0.490909091,0.287234043
Xerces-1.3,0.048780488,0.25,0.222222222,0.340248963,0,0.530436117,0.108333333,0.8125
Xerces-1.4,0.05511811,0.175,0.178571429,0.360795455,12,0.476710327,0,0
