Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.189189189,0.525,0.468085106,0.623595506,0,0.760027091,0.125,0.025
Ant-1.5,0.648648649,0.32,0.296460177,0.120915033,1,0.673795556,0.647058824,0.44
Ant-1.6,0.714285714,0.189873418,0.216589862,0.067307692,0,0.638846188,0.730769231,0.240506329
Ant-1.7,0.444444444,0.25,0.216981132,0.073569482,1,0.573856566,0.512820513,0.416666667
Camel-1.2,0.022421525,0.454545455,0.416666667,0.453252033,6,0.61909023,0.142857143,0.090909091
Camel-1.4,0.9,0.243243243,0.255813953,0.091743119,0,0.606654055,0.769230769,0.27027027
Camel-1.6,0.923076923,0.126984127,0.142570281,0.126829268,0,0.345245672,0.928571429,0.275132275
Ivy-1.4,0.636363636,0.194444444,0.154589372,0.178137652,0,0.415388864,0.707865169,0.4375
Ivy-2.0,0.525210084,0.615763547,0.473101266,0.7,1,0.789169592,0.597058824,1
Jedit-4.0,0.103448276,0.324324324,0.333333333,0.369426752,0,0.546361212,0.143518519,0.837837838
Jedit-4.1,0.7,0.028225806,0.08266129,0.025974026,1,0.535489328,0.75,0.036290323
Jedit-4.2,0.057291667,0.34375,0.314285714,0.655290102,0,0.564168798,0,0
Jedit-4.3,0.68877551,0.480427046,0.374,0.443438914,1,0.678642425,0.747774481,0.896797153
Log4j-1.1,0.173228346,0.366666667,0.262626263,0.572072072,0,0.541176643,0,0
Log4j-1.2,0.190789474,0.337209302,0.296551724,0.59375,12,0.598198031,0.666666667,0.23255814
Lucene-2.2,0.613924051,0.683098592,0.480362538,0.738317757,0,0.886451792,0.657004831,0.957746479
Lucene-2.4,0.280701754,0.615384615,0.468421053,0.746724891,14,0.788251739,0.340611354,1
Poi-2.0,0.892857143,0.064599483,0.114877589,0.03486924,0,0.575550789,0.888888889,0.020671835
Poi-2.5,0.547085202,0.296836983,0.2624,0.251977401,0,0.504342203,0.692682927,0.690997567
Poi-3.0,0.993975904,0.183741648,0.216817807,0.182618262,0,0.310426248,0.996845426,0.351893096
Synapse-1.1,0.1875,0.084507042,0.07826087,0.072727273,12,0.312659241,0.230769231,0.169014085
Synapse-1.2,0.112637363,0.594202899,0.538860104,0.803532009,1,0.723360412,0.666666667,0.028985507
Velocity-1.5,0.104803493,0.260869565,0.152173913,0.652421652,52,0.495374572,1,0.010869565
Velocity-1.6,1,0.020594966,0.068295739,0.015306122,0,0.568422731,1,0.018306636
Xalan-2.5,0.590163934,0.21686747,0.23964497,0.081879195,2,0.563202188,0.657142857,0.415662651
Xalan-2.6,0.341207349,0.601851852,0.409961686,0.626644737,1,0.654241093,0,0
Xalan-2.7,0.484848485,0.110344828,0.191044776,0.037844037,1,0.580635396,0.466666667,0.096551724
Xerces-1.2,0.165289256,0.531914894,0.372,0.626943005,0,0.630209882,0.818181818,0.04787234
Xerces-1.3,0.064516129,0.25,0.222222222,0.257261411,10,0.484097927,0.117647059,0.875
Xerces-1.4,0.038610039,0.25,0.196428571,0.735795455,38,0.518741404,0,0
