Testing Datasets,Precision@20%,Recall@20%,PofB@20%,PMI@20%,IFA,Norm(Popt),Precision,Recall
Ant-1.4,0.444444444,0.2,0.191489362,0.101123596,1,0.462131816,0.347826087,0.2
Ant-1.5,0.448717949,0.466666667,0.32300885,0.254901961,1,0.775926158,0.540816327,0.706666667
Ant-1.6,0.611111111,0.417721519,0.382488479,0.173076923,3,0.802538549,0.634920635,0.506329114
Ant-1.7,0.316666667,0.395833333,0.254716981,0.163487738,7,0.632673184,0.3875,0.645833333
Camel-1.2,0.069767442,0.272727273,0.333333333,0.087398374,13,0.712173631,0.104166667,0.454545455
Camel-1.4,0.631578947,0.324324324,0.337209302,0.174311927,4,0.695195123,0.741935484,0.621621622
Camel-1.6,0.918918919,0.17989418,0.196787149,0.180487805,0,0.40659302,0.949152542,0.296296296
Ivy-1.4,0.724637681,0.347222222,0.285024155,0.279352227,1,0.608653333,0.742574257,0.520833333
Ivy-2.0,0.608108108,0.443349754,0.381329114,0.435294118,1,0.660124489,0.663414634,0.669950739
Jedit-4.0,0.0859375,0.297297297,0.307692308,0.407643312,11,0.505362349,0.126903553,0.675675676
Jedit-4.1,0.735294118,0.100806452,0.153225806,0.088311688,1,0.416966961,0.75,0.108870968
Jedit-4.2,0.125,0.28125,0.285714286,0.245733788,16,0.647067165,0.1875,0.28125
Jedit-4.3,0.681564246,0.434163701,0.322,0.404977376,0,0.61316931,0.733067729,0.65480427
Log4j-1.1,0.25,0.2,0.272727273,0.216216216,5,0.485938018,0.5,0.1
Log4j-1.2,0.571428571,0.23255814,0.248275862,0.13671875,0,0.558659831,0.617021277,0.337209302
Lucene-2.2,0.635761589,0.676056338,0.513595166,0.705607477,0,0.87451903,0.673366834,0.943661972
Lucene-2.4,0.371681416,0.538461538,0.421052632,0.493449782,10,0.748329136,0.443708609,0.858974359
Poi-2.0,0.666666667,0.139534884,0.184557439,0.100871731,0,0.59375337,0.693181818,0.157622739
Poi-2.5,0.547619048,0.447688564,0.4016,0.379661017,3,0.721412897,0.626477541,0.644768856
Poi-3.0,1,0.311804009,0.341302556,0.308030803,0,0.486910721,1,0.459910913
Synapse-1.1,0.226600985,0.647887324,0.67826087,0.461363636,1,0.824957395,0.238297872,0.788732394
Synapse-1.2,0.229166667,0.15942029,0.222797927,0.105960265,5,0.658521925,0.226415094,0.173913043
Velocity-1.5,0.62962963,0.184782609,0.190217391,0.076923077,5,0.56967518,0.65625,0.22826087
Velocity-1.6,0.951612903,0.135011442,0.230576441,0.105442177,0,0.577664937,0.955882353,0.148741419
Xalan-2.5,0.43,0.259036145,0.23964497,0.134228188,5,0.580734265,0.526666667,0.475903614
Xalan-2.6,0.435714286,0.282407407,0.298850575,0.230263158,2,0.577381033,0.636363636,0.032407407
Xalan-2.7,0.32,0.496551724,0.447761194,0.258027523,17,0.750923077,0.357414449,0.648275862
Xerces-1.2,0.465517241,0.287234043,0.408,0.120207254,6,0.722723511,0.475,0.303191489
Xerces-1.3,0.075,0.375,0.333333333,0.331950207,0,0.580227689,0.115702479,0.875
Xerces-1.4,0.085271318,0.275,0.267857143,0.366477273,1,0.55100219,0.333333333,0.05
