,ADB,DF,DT,KNN,LR,NB,RF,XGB,MLP,SVM
CS,3.866666667,4.166666667,4.533333333,4.1,3.6,3.2,4.533333333,4.233333333,7,3.633333333
CR,4.133333333,3.933333333,5.166666667,4.4,3.266666667,4.133333333,4.1,3.433333333,5.033333333,6.3
CV,3.133333333,5.966666667,5.3,7.666666667,2.966666667,4.166666667,4.333333333,4.766666667,7.8,7.166666667
PS,2.733333333,4.4,5.233333333,4.833333333,4.566666667,3.733333333,5.2,4.466666667,6.9,6.166666667
IG,3.666666667,3.966666667,4.8,4,3.466666667,3.333333333,4.633333333,4.6,8.266666667,4.2
GR,3.033333333,5.4,4.666666667,4.933333333,4.7,3.666666667,4.633333333,4.266666667,3.7,5.166666667
SU,3.033333333,3.6,3.633333333,4.233333333,4,3.3,4.033333333,4.066666667,5.533333333,4.9
REF,4.6,6.2,5.666666667,5.466666667,11,8.366666667,5.366666667,5.766666667,11.2,6.233333333
RW,4.766666667,6.5,6.166666667,6,11.9,9.9,5.966666667,5.7,12,6.1
ORF,3.5,5.633333333,5.8,6.366666667,5.066666667,4,5.433333333,4.5,3.8,5.266666667
SVMF,4.433333333,5,6,4.566666667,4.066666667,4.9,4.366666667,4.7,3.6,5.1
CorBF,3,6.233333333,5.933333333,4.866666667,4.2,3.033333333,4,5.4,6.6,5.7
CorGS,3,5.833333333,7.066666667,5.066666667,4.533333333,3.233333333,4.666666667,5.333333333,3.633333333,3.166666667
ConBF,3.166666667,3.666666667,4.5,4.166666667,3.1,3.266666667,3.4,3.066666667,2.533333333,3.1
ConGS,2.5,3.966666667,4.766666667,4.266666667,2.466666667,3.366666667,3.533333333,3.1,2.6,3.533333333
ADBB,3.9,4.633333333,7.033333333,6.833333333,2.666666667,6.266666667,4.1,4.5,7.233333333,6.6
ADBF,3.466666667,11.43333333,6,4.766666667,5.666666667,6.833333333,6.033333333,5,6.566666667,10.46666667
DFB,4.366666667,3.7,6.466666667,3.7,4,4.566666667,4.3,4.666666667,5.9,2.7
DFF,4.533333333,3.666666667,3.466666667,7.666666667,7.8,7.333333333,3.733333333,3.7,10.8,11.86666667
RFB,5.2,3.9,6.266666667,4.833333333,3.366666667,5.033333333,4.733333333,4.1,3.6,8.166666667
RFF,4.966666667,5.066666667,5.366666667,6.2,9.266666667,5.866666667,5.033333333,5.866666667,8,8.566666667
XGBB,4.3,6.533333333,5.533333333,5.8,2.7,4.766666667,3.966666667,3.233333333,6.666666667,6.833333333
XGBF,5.2,5.766666667,6,4,8.466666667,7.166666667,4.933333333,5,5.2,11.5
NONE,4.266666667,5.3,6.7,3.533333333,3.566666667,6.1,4.566666667,3.966666667,3.966666667,4.5
